重度污染,204,157,200,37,44,1.35,42,24,11,多云,南风,2级,100,820675,1783143,356,3188.2,3188,2130601
重度污染,232,184,247,38,55,1.58,46,21,15,小雨,东风,2级,91,820675,1783143,356,3188.2,3188,2130601
轻度污染,145,111,88,16,27,0.87,46,19,15,小雨,东北风,3级,90,820675,1783143,356,3188.2,3188,2130601
轻度污染,140,107,55,15,35,1.08,25,19,15,小雨,东北风,2级,91,820675,1783143,356,3188.2,3188,2130601
轻度污染,129,98,81,17,36,0.82,19,19,15,小雨,北风,2级,88,820675,1783143,356,3188.2,3188,2130601
良,98,73,49,10,34,0.94,20,20,13,多云,西北风,2级,85,820675,1783143,356,3188.2,3188,2130601
中度污染,165,125,107,21,36,1.23,34,19,9,晴,北风,2级,80,820675,1783143,356,3188.2,3188,2130601
轻度污染,150,113,85,24,39,0.95,34,19,9,晴,东风,3级,83,820675,1783143,356,3188.2,3188,2130601
轻度污染,108,81,119,25,49,1.1,30,21,9,多云,东风,3级,78,820675,1783143,356,3188.2,3188,2130601
中度污染,173,128,153,16,45,1.35,36,22,10,晴,西风,2级,83,820675,1783143,356,3188.2,3188,2130601
中度污染,178,135,172,22,43,0.95,33,23,11,多云,北风,3级,83,820675,1783143,356,3188.2,3188,2130601
重度污染,219,199,252,28,52,1.78,28,20,16,小雨,东北风,2级,85,820675,1783143,356,3188.2,3188,2130601
严重污染,257,210,212,20,43,1.62,28,18,13,小雨,西北风,3级,88,820675,1783143,356,3188.2,3188,2130601
中度污染,187,70,36,15,23,0.79,33,15,9,多云,东北风,3级,85,820675,1783143,356,3188.2,3188,2130601
良,95,81,51,24,27,0.86,31,15,9,阴,东北风,3级,85,820675,1783143,356,3188.2,3188,2130601
良,92,65,85,23,35,0.85,26,15,8,阴,东北风,2级,88,820675,1783143,356,3188.2,3188,2130601
良,94,75,98,25,36,0.97,27,17,10,阴,北风,3级,85,820675,1783143,356,3188.2,3188,2130601
轻度污染,127,113,159,24,38,1.07,29,18,5,晴,南风,2级,83,820675,1783143,356,3188.2,3188,2130601
轻度污染,144,108,260,27,42,0.91,32,18,7,多云,北风,2级,84,820675,1783143,356,3188.2,3188,2130601
轻度污染,141,89,200,20,36,0.8,34,15,3,晴,北风,3级,89,820675,1783143,356,3188.2,3188,2130601
轻度污染,131,91,184,22,36,0.78,28,16,3,晴,东风,2级,91,820675,1783143,356,3188.2,3188,2130601
轻度污染,111,95,149,30,44,1.09,31,17,2,晴,北风,3级,53,820675,1783143,356,3188.2,3188,2130601
中度污染,153,134,181,40,53,1.29,26,18,3,多云,东南风,2级,50,820675,1783143,356,3188.2,3188,2130601
中度污染,186,142,192,31,57,1.39,29,18,8,多云,东风,3级,55,820675,1783143,356,3188.2,3188,2130601
中度污染,197,177,251,49,70,1.92,25,19,7,晴,北风,2级,60,820675,1783143,356,3188.2,3188,2130601
严重污染,259,225,264,35,53,1.93,26,19,9,阴,北风,3级,78,820675,1783143,356,3188.2,3188,2130601
严重污染,252,194,187,31,45,1.7,22,13,9,小雨,北风,2级,65,820675,1783143,356,3188.2,3188,2130601
重度污染,212,96,47,16,24,1.05,33,14,4,晴,西北风,4级,55,820675,1783143,356,3188.2,3188,2130601
良,93,71,200,20,24,0.77,37,15,2,多云,东风,3级,86,820675,1783143,356,3188.2,3188,2130601
轻度污染,144,98,238,22,38,1.32,26,8,2,晴,北风,2级,65,820675,1783143,356,3188.2,3188,2130601
轻度污染,110,65,96,28,28,0.74,32,10,-2,晴,北风,3级,74,820675,1783143,356,3188.2,3188,2130601
良,74,49,82,27,28,0.67,34,12,-3,晴,西北风,3级,56,820675,1783143,356,3188.2,3188,2130601
良,65,50,89,25,33,0.74,37,15,0,多云,南风,3级,47,820675,1783143,356,3188.2,3188,2130601
良,73,48,80,28,26,0.64,35,13,1,晴,西北风,2级,50,820675,1783143,356,3188.2,3188,2130601
轻度污染,127,114,153,53,43,1.46,30,17,1,晴,东风,3级,50,820675,1783143,356,3188.2,3188,2130601
中度污染,178,155,194,38,46,1.47,32,17,4,多云,东南风,2级,55,820675,1783143,356,3188.2,3188,2130601
重度污染,208,174,208,34,43,1.55,33,16,5,晴,西北风,2级,55,820675,1783143,356,3188.2,3188,2130601
严重污染,309,353,378,46,61,3.07,34,17,5,多云,东风,3级,49,820675,1783143,356,3188.2,3188,2130601
严重污染,415,362,340,44,48,2.66,36,13,4,多云,北风,2级,72,820675,1783143,356,3188.2,3188,2130601
严重污染,355,354,359,47,61,2.99,27,15,2,多云,东风,3级,67,820675,1783143,356,3188.2,3188,2130601
严重污染,387,327,309,35,60,3.3,37,13,3,多云,东南风,2级,83,820675,1783143,356,3188.2,3188,2130601
严重污染,343,212,171,28,47,2.53,32,10,4,多云,西北风,2级,91,820675,1783143,356,3188.2,3188,2130601
严重污染,284,191,125,30,34,1.99,23,9,-2,多云,西北风,3级,92,820675,1783143,356,3188.2,3188,2130601
中度污染,180,112,129,31,46,1.5,21,10,0,晴,西风,2级,71,820675,1783143,356,3188.2,3188,2130601
轻度污染,147,107,148,38,44,1.43,21,12,-1,多云,东风,2级,60,820675,1783143,356,3188.2,3188,2130601
中度污染,151,132,183,48,49,1.71,25,11,-1,多云,西北风,2级,45,820675,1783143,356,3188.2,3188,2130601
重度污染,212,191,245,43,70,2.26,23,13,0,多云,北风,2级,46,820675,1783143,356,3188.2,3188,2130601
重度污染,249,198,243,51,69,2.28,26,12,4,多云转小雨,东北风,3级,64,820675,1783143,356,3188.2,3188,2130601
重度污染,244,184,190,47,39,1.67,29,12,4,多云转小雨,东北风,2级,63,820675,1783143,356,3188.2,3188,2130601
